,TR,parameter,states,points
0,9,8,feedback,0
1,10,19,feedback,1
2,11,15,feedback,1
3,12,19,feedback,1
4,13,19,feedback,1
5,23,19,feedback,1
6,24,3,feedback,1
7,25,19,feedback,2
8,26,19,feedback,2
9,27,15,feedback,2
10,37,19,feedback,2
11,38,19,feedback,2
12,39,19,feedback,2
13,40,19,feedback,2
14,41,19,feedback,2
15,51,19,feedback,2
16,52,6,feedback,2
17,53,19,feedback,3
18,54,19,feedback,3
19,55,19,feedback,3
20,65,2,feedback,3
21,66,11,feedback,4
22,67,19,feedback,4
23,68,19,feedback,4
24,69,5,feedback,4
25,79,19,feedback,4
26,80,19,feedback,4
27,81,19,feedback,4
28,82,19,feedback,4
29,83,16,feedback,4
30,93,19,feedback,5
31,94,8,feedback,5
32,95,19,feedback,6
33,96,19,feedback,6
34,97,19,feedback,6
35,107,19,feedback,6
36,108,19,feedback,6
37,109,19,feedback,6
38,110,19,feedback,6
39,111,6,feedback,6
40,121,19,feedback,7
41,122,4,feedback,7
42,123,19,feedback,8
43,124,19,feedback,8
44,125,19,feedback,8
45,135,19,feedback,8
46,136,19,feedback,8
47,137,19,feedback,8
48,138,19,feedback,8
49,139,19,feedback,8
50,149,19,feedback,8
51,150,19,feedback,8
52,151,19,feedback,8
53,152,3,feedback,8
54,153,19,feedback,9
55,163,9,feedback,9
56,164,19,feedback,10
57,165,12,feedback,10
58,166,19,feedback,10
59,167,9,feedback,10
60,177,19,feedback,10
61,178,19,feedback,10
62,179,5,feedback,10
63,180,10,feedback,11
64,181,19,feedback,11
65,191,17,feedback,11
66,192,19,feedback,12
67,193,19,feedback,12
68,194,19,feedback,12
69,195,11,feedback,12
70,205,19,feedback,13
71,206,19,feedback,13
72,207,19,feedback,13
73,208,19,feedback,13
74,209,19,feedback,13
75,219,19,feedback,13
