,TR,parameter,states,points
0,9,8,feedback,0
1,10,19,feedback,1
2,11,19,feedback,1
3,12,19,feedback,1
4,13,19,feedback,1
5,23,19,feedback,1
6,24,19,feedback,1
7,25,19,feedback,1
8,26,19,feedback,1
9,27,19,feedback,1
10,37,19,feedback,1
11,38,19,feedback,1
12,39,16,feedback,1
13,40,19,feedback,2
14,41,19,feedback,2
15,51,19,feedback,2
16,52,19,feedback,2
17,53,19,feedback,2
18,54,19,feedback,2
19,55,19,feedback,2
20,65,19,feedback,2
21,66,19,feedback,2
22,67,19,feedback,2
23,68,19,feedback,2
24,69,19,feedback,2
25,79,19,feedback,2
26,80,19,feedback,2
27,81,1,feedback,2
28,82,19,feedback,3
29,83,5,feedback,3
30,93,19,feedback,3
31,94,19,feedback,3
32,95,11,feedback,3
33,96,19,feedback,4
34,97,19,feedback,4
35,107,19,feedback,4
36,108,19,feedback,4
37,109,19,feedback,4
38,110,19,feedback,4
39,111,19,feedback,4
40,121,19,feedback,4
41,122,19,feedback,4
42,123,19,feedback,4
43,124,19,feedback,4
44,125,19,feedback,4
45,135,19,feedback,4
46,136,19,feedback,4
47,137,19,feedback,4
48,138,19,feedback,4
49,139,19,feedback,4
50,149,10,feedback,4
51,150,5,feedback,5
52,151,19,feedback,6
53,152,19,feedback,6
54,153,19,feedback,6
55,163,3,feedback,6
56,164,13,feedback,7
57,165,8,feedback,7
58,166,19,feedback,7
59,167,15,feedback,7
60,177,19,feedback,7
61,178,17,feedback,7
62,179,19,feedback,8
63,180,19,feedback,8
64,181,19,feedback,8
65,191,19,feedback,8
66,192,18,feedback,8
67,193,19,feedback,9
68,194,7,feedback,9
69,195,19,feedback,10
