,TR,parameter,states,points
0,9,8,feedback,0
1,10,19,feedback,1
2,11,19,feedback,1
3,12,19,feedback,1
4,13,19,feedback,1
5,23,19,feedback,1
6,24,7,feedback,1
7,25,19,feedback,2
8,26,14,feedback,2
9,27,19,feedback,2
10,37,19,feedback,2
11,38,19,feedback,2
12,39,19,feedback,2
13,40,19,feedback,2
14,41,19,feedback,2
15,51,19,feedback,2
16,52,19,feedback,2
17,53,19,feedback,2
18,54,19,feedback,2
19,55,19,feedback,2
20,65,19,feedback,2
21,66,19,feedback,2
22,67,19,feedback,2
23,68,19,feedback,2
24,69,18,feedback,2
25,79,15,feedback,3
26,80,15,feedback,4
27,81,7,feedback,4
28,82,1,feedback,5
29,83,19,feedback,6
30,93,19,feedback,6
31,94,17,feedback,6
32,95,19,feedback,7
33,96,19,feedback,7
34,97,9,feedback,7
35,107,19,feedback,8
36,108,19,feedback,8
37,109,19,feedback,8
38,110,19,feedback,8
39,111,19,feedback,8
40,121,19,feedback,8
41,122,19,feedback,8
42,123,19,feedback,8
43,124,18,feedback,8
44,125,19,feedback,9
45,135,2,feedback,9
46,136,9,feedback,10
47,137,19,feedback,10
48,138,19,feedback,10
49,139,19,feedback,10
50,149,19,feedback,10
51,150,3,feedback,10
52,151,13,feedback,11
53,152,19,feedback,11
54,153,19,feedback,11
55,163,19,feedback,11
56,164,19,feedback,11
57,165,19,feedback,11
58,166,19,feedback,11
59,167,19,feedback,11
60,177,19,feedback,11
61,178,19,feedback,11
62,179,19,feedback,11
63,180,15,feedback,11
64,181,19,feedback,12
65,191,19,feedback,12
66,192,19,feedback,12
67,193,16,feedback,12
68,194,19,feedback,13
69,195,19,feedback,13
70,205,19,feedback,13
71,206,19,feedback,13
72,207,19,feedback,13
73,208,5,feedback,13
74,209,19,feedback,14
75,219,19,feedback,14
