,TR,parameter,states,points
0,9,8,feedback,0
1,10,19,feedback,1
2,11,4,feedback,1
3,12,11,feedback,2
4,13,14,feedback,2
5,23,19,feedback,2
6,24,19,feedback,2
7,25,19,feedback,2
8,26,15,feedback,2
9,27,19,feedback,3
10,37,19,feedback,3
11,38,19,feedback,3
12,39,19,feedback,3
13,40,19,feedback,3
14,41,19,feedback,3
15,51,18,feedback,3
16,52,19,feedback,4
17,53,19,feedback,4
18,54,19,feedback,4
19,55,19,feedback,4
20,65,19,feedback,4
21,66,19,feedback,4
22,67,18,feedback,4
23,68,19,feedback,5
24,69,19,feedback,5
25,79,19,feedback,5
26,80,17,feedback,5
27,81,9,feedback,6
28,82,19,feedback,7
29,83,19,feedback,7
30,93,19,feedback,7
31,94,19,feedback,7
32,95,19,feedback,7
33,96,19,feedback,7
34,97,19,feedback,7
35,107,17,feedback,7
36,108,16,feedback,8
37,109,19,feedback,9
38,110,19,feedback,9
39,111,1,feedback,9
40,121,19,feedback,10
41,122,19,feedback,10
42,123,19,feedback,10
43,124,19,feedback,10
44,125,19,feedback,10
45,135,19,feedback,10
46,136,19,feedback,10
47,137,19,feedback,10
48,138,9,feedback,10
49,139,19,feedback,11
50,149,19,feedback,11
51,150,4,feedback,11
52,151,16,feedback,12
53,152,19,feedback,12
54,153,19,feedback,12
55,163,9,feedback,12
56,164,19,feedback,13
57,165,19,feedback,13
58,166,19,feedback,13
59,167,19,feedback,13
60,177,19,feedback,13
61,178,19,feedback,13
62,179,19,feedback,13
63,180,19,feedback,13
64,181,19,feedback,13
65,191,19,feedback,13
66,192,9,feedback,13
67,193,2,feedback,14
68,194,19,feedback,15
69,195,2,feedback,15
