,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off,Trial_ID
0,sub003,3,3,0,,0,,,,,,,,
1,sub003,3,4,2,,0,,,,,,,,
2,sub003,3,5,4,,0,,,,,,,,
3,sub003,3,6,6,C,0.0,,1,0.4666679040001327,,12.005211853000219,13.02195214700032,13.921887718000107,0
4,sub003,3,7,8,,0,,,,,,,,
5,sub003,3,8,10,,0,,,,,,,,
6,sub003,3,9,12,B,0.0,,2,0.450157592999858,,18.005263453000225,19.02216657000008,19.922088695000184,1
7,sub003,3,10,14,,0,,,,,,,,
8,sub003,3,11,16,,0,,,,,,,,
9,sub003,3,12,18,,0,,,,,,,,
10,sub003,3,13,20,C,0.0,,1,0.4333343599996624,,26.005465584000376,27.022206309000012,27.922127588999956,2
11,sub003,3,14,22,,0,,,,,,,,
12,sub003,3,15,24,,0,,,,,,,,
13,sub003,3,16,26,D,0.0,,2,0.36669342200002575,,32.005482207000114,33.022248279999985,33.92216953700017,3
14,sub003,3,17,28,,0,,,,,,,,
15,sub003,3,18,30,,0,,,,,,,,
16,sub003,3,19,32,,0,,,,,,,,
17,sub003,3,20,34,C,0.0,,1,0.33335487699969235,,40.00553813200031,41.02229550100037,41.92222367500017,4
18,sub003,3,21,36,,0,,,,,,,,
19,sub003,3,22,38,,0,,,,,,,,
20,sub003,3,23,40,B,0.0,,2,0.4500004629999239,,46.00557610400028,47.02234838499999,47.922249958000066,5
21,sub003,3,24,42,,0,,,,,,,,
22,sub003,3,25,44,,0,,,,,,,,
23,sub003,3,26,46,D,0.0,,2,0.33334128800015606,,52.00560748099997,53.02237408700012,53.92229307400021,6
24,sub003,3,27,48,,0,,,,,,,,
25,sub003,3,28,50,,0,,,,,,,,
26,sub003,3,29,52,,0,,,,,,,,
27,sub003,3,30,54,A,0.0,,1,0.46668238800020845,,60.00566109200008,61.02242823300003,61.92233282300003,7
28,sub003,3,31,56,,0,,,,,,,,
29,sub003,3,32,58,B,0.0,,2,0.6000186290002603,,64.00568604599994,65.02244409700006,65.92236556200032,8
30,sub003,3,33,60,,0,,,,,,,,
31,sub003,3,34,62,A,0.0,,1,0.350011916999847,,68.00572174200033,69.02247385999999,69.9223839350002,9
32,sub003,3,35,64,,0,,,,,,,,
33,sub003,3,36,66,D,0.0,,2,0.35001663299999564,,72.00574310799993,73.02250106500014,73.92242297600023,10
34,sub003,3,37,68,,0,,,,,,,,
35,sub003,3,38,70,,0,,,,,,,,
36,sub003,3,39,72,A,0.0,,1,0.316681835000054,,78.00577789099998,79.02254239900003,79.92246179099993,11
37,sub003,3,40,74,,0,,,,,,,,
38,sub003,3,41,76,,0,,,,,,,,
39,sub003,3,42,78,,0,,,,,,,,
40,sub003,3,43,80,C,0.0,,1,0.3666537240001162,,86.00584710500016,87.02259407800011,87.92252246900034,12
41,sub003,3,44,82,,0,,,,,,,,
42,sub003,3,45,84,,0,,,,,,,,
43,sub003,3,46,86,,0,,,,,,,,
44,sub003,3,47,88,A,0.0,,1,0.3833290229999875,,94.00589042299998,95.02264384599994,95.9225586890002,13
45,sub003,3,48,90,,0,,,,,,,,
46,sub003,3,49,92,,0,,,,,,,,
47,sub003,3,50,94,D,0.0,,2,0.3499978640002155,,100.00593897099998,101.02268490100005,101.92259880100028,14
48,sub003,3,51,96,,0,,,,,,,,
49,sub003,3,52,98,,0,,,,,,,,
50,sub003,3,53,100,C,0.0,,1,0.3166786060000959,,106.00595802099997,107.02274298400016,107.922641655,15
51,sub003,3,54,102,,0,,,,,,,,
52,sub003,3,55,104,A,0.0,,1,0.5333562619998702,,110.00599221100038,111.02274646600017,111.92267304200004,16
53,sub003,3,56,106,,0,,,,,,,,
54,sub003,3,57,108,,0,,,,,,,,
55,sub003,3,58,110,B,0.0,,2,0.2999963120000757,,116.006044492,117.02279309100004,117.92271154500031,17
56,sub003,3,59,112,,0,,,,,,,,
57,sub003,3,60,114,,0,,,,,,,,
58,sub003,3,61,116,C,0.0,,1,0.333358336999936,,122.00607334400001,123.02283896000017,123.92274192800005,18
59,sub003,3,62,118,,0,,,,,,,,
60,sub003,3,63,120,,0,,,,,,,,
61,sub003,3,64,122,D,0.0,,2,0.3333473140000933,,128.00611342599996,129.02286936200016,129.92279075100032,19
62,sub003,3,65,124,,0,,,,,,,,
63,sub003,3,66,126,A,0.0,,1,0.550004753000394,,132.00614103299995,133.022910358,133.92281568700037,20
64,sub003,3,67,128,,0,,,,,,,,
65,sub003,3,68,130,,0,,,,,,,,
66,sub003,3,69,132,,0,,,,,,,,
67,sub003,3,70,134,B,0.0,,2,0.6166694449998431,,140.00619626000025,141.02295051700003,141.92288367200035,21
68,sub003,3,71,136,,0,,,,,,,,
69,sub003,3,72,138,,0,,,,,,,,
70,sub003,3,73,140,D,0.0,,2,0.3166611480000938,,146.00624752500016,147.0230033150001,147.922918493,22
71,sub003,3,74,142,,0,,,,,,,,
72,sub003,3,75,144,B,0.0,,2,0.6666638930000772,,150.006272954,151.02302388399994,151.92295853600035,23
73,sub003,3,76,146,,0,,,,,,,,
74,sub003,3,77,148,,0,,,,,,,,
75,sub003,3,78,150,,0,,,,,,,,
76,sub003,3,79,152,C,0.0,,1,0.4333537040001829,,158.00631595000004,159.02308315200025,159.9230009400003,24
77,sub003,3,80,154,,0,,,,,,,,
78,sub003,3,81,156,,0,,,,,,,,
79,sub003,3,82,158,D,0.0,,2,0.34999975700020514,,164.00638306700012,165.02311803500015,165.92305444800013,25
80,sub003,3,83,160,,0,,,,,,,,
81,sub003,3,84,162,,0,,,,,,,,
82,sub003,3,85,164,,0,,,,,,,,
